seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
43,none,dot,W-BCE,26,0.7037502905371179,0.6944775218934987,0.7602724529641463
43,asymmetric,dot,W-BCE,30,0.7094135910154634,0.693413096620159,0.7281123864368451
43,symmetric,dot,W-BCE,15,0.696925045071596,0.6875900340181773,0.679141357367307
43,none,dot,W-ASL-g2,41,0.6790752802952603,0.6645230561952659,0.753037115923165
43,asymmetric,dot,W-ASL-g2,25,0.6951175972942965,0.6729064263501511,0.7215935983907229
43,symmetric,dot,W-ASL-g2,13,0.6761673709081193,0.6851720594853078,0.6798439369436885
43,none,dot,W-ASL-g3,24,0.6838124554437098,0.6813866942002865,0.7419971666732403
43,asymmetric,dot,W-ASL-g3,24,0.6915712768217029,0.6859978175202287,0.718325987062675
43,symmetric,dot,W-ASL-g3,13,0.680680857622912,0.6777722262972578,0.6721706175469043
43,none,concat,W-BCE,10,0.7092494636999463,0.6894037270352796,0.724445414086433
43,asymmetric,concat,W-BCE,10,0.7187256381005164,0.6928457251347232,0.716170177099357
43,symmetric,concat,W-BCE,12,0.7212955480208211,0.6900080994982076,0.7234975479561918
43,none,concat,W-ASL-g2,18,0.691479647307649,0.6730521676693543,0.7394802061557475
43,asymmetric,concat,W-ASL-g2,36,0.6998364326141461,0.6616144998690657,0.7548284884103129
43,symmetric,concat,W-ASL-g2,15,0.6973257500819391,0.6575678323082265,0.7299588148674054
43,none,concat,W-ASL-g3,18,0.6792569031732695,0.6712170867035048,0.7412859589266227
43,asymmetric,concat,W-ASL-g3,21,0.6878863457394956,0.6643853778934022,0.7407579970812131
43,symmetric,concat,W-ASL-g3,15,0.6835394899089215,0.6627997793569905,0.7332962732878423
