seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
46,none,dot,W-BCE,21,0.6887774000781501,0.6990763469928233,0.7485882670032475
46,asymmetric,dot,W-BCE,46,0.6937236769370182,0.6730890443367782,0.7331183686348756
46,symmetric,dot,W-BCE,11,0.6836344681832583,0.686757355204089,0.664489902575632
46,none,dot,W-ASL-g2,14,0.674447843905427,0.6924458811612251,0.7313031659632653
46,asymmetric,dot,W-ASL-g2,44,0.6899207193598104,0.6605350153976987,0.7370914355960505
46,symmetric,dot,W-ASL-g2,26,0.6936714085099718,0.6782901975401611,0.6974873124811003
46,none,dot,W-ASL-g3,12,0.6738160356221098,0.685935300652543,0.7268440454121143
46,asymmetric,dot,W-ASL-g3,46,0.6825906185561447,0.6512466517274873,0.7335210165792345
46,symmetric,dot,W-ASL-g3,22,0.6845886931240139,0.6668650579338995,0.684863066829698
46,none,concat,W-BCE,12,0.7038757512786654,0.6893499050585334,0.7376633600231399
46,asymmetric,concat,W-BCE,15,0.7048939986512925,0.6810243857607313,0.7384818035998371
46,symmetric,concat,W-BCE,28,0.7043525635987887,0.6720602649899167,0.7480689333280742
46,none,concat,W-ASL-g2,45,0.6996709725460212,0.6568342055831263,0.766245611959137
46,asymmetric,concat,W-ASL-g2,31,0.6784792786832118,0.6410777433817539,0.7492949552321224
46,symmetric,concat,W-ASL-g2,33,0.6875056120317269,0.6532528060730961,0.7568318673661237
46,none,concat,W-ASL-g3,47,0.6935659311467162,0.6333974943484855,0.7621985892530799
46,asymmetric,concat,W-ASL-g3,43,0.6769569951851896,0.6753917012540489,0.7631731616245284
46,symmetric,concat,W-ASL-g3,33,0.6801021431979413,0.6525991959642546,0.7578212308865486
