seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
42,none,dot,W-BCE,25,0.6941410751109703,0.6913421472116,0.7575525250134764
42,asymmetric,dot,W-BCE,12,0.6986804455088999,0.7037679726492008,0.6976623410773215
42,symmetric,dot,W-BCE,12,0.6902209960645941,0.6873387227245233,0.6748346678236632
42,none,dot,W-ASL-g2,25,0.6788649191720397,0.6710734999583051,0.7476892938376787
42,asymmetric,dot,W-ASL-g2,18,0.6820773511131154,0.6952698433764812,0.7073201396284462
42,symmetric,dot,W-ASL-g2,17,0.6887583776912085,0.6757933555061415,0.6767665562260876
42,none,dot,W-ASL-g3,20,0.6772197505818239,0.6733471095434044,0.7410279355500335
42,asymmetric,dot,W-ASL-g3,17,0.676721186889524,0.6749484907748428,0.6980312980712341
42,symmetric,dot,W-ASL-g3,15,0.6795180046515279,0.6735391974813029,0.6759448257273957
42,none,concat,W-BCE,19,0.7103333182859478,0.6942542624763565,0.7427506935405409
42,asymmetric,concat,W-BCE,16,0.6899067780372118,0.7050454544596637,0.7536608093716721
42,symmetric,concat,W-BCE,43,0.7040574416608479,0.6803414687273871,0.75861173562629
42,none,concat,W-ASL-g2,71,0.6939161492489632,0.6611569563863195,0.7558112780867485
42,asymmetric,concat,W-ASL-g2,42,0.6796209403078453,0.6433133956982473,0.7587941597969998
42,symmetric,concat,W-ASL-g2,42,0.682475452047825,0.64841691557029,0.7585862619808307
42,none,concat,W-ASL-g3,9,0.6754161918917424,0.6968424915716663,0.7154659540619783
42,asymmetric,concat,W-ASL-g3,38,0.6796882591744519,0.6508727771068791,0.7635659488029032
42,symmetric,concat,W-ASL-g3,11,0.6603303118535243,0.6772454515133891,0.7104920193533967
43,none,dot,W-BCE,26,0.7037502905371179,0.6944775218934987,0.7602724529641463
43,asymmetric,dot,W-BCE,30,0.7094135910154634,0.693413096620159,0.7281123864368451
43,symmetric,dot,W-BCE,15,0.696925045071596,0.6875900340181773,0.679141357367307
43,none,dot,W-ASL-g2,41,0.6790752802952603,0.6645230561952659,0.753037115923165
43,asymmetric,dot,W-ASL-g2,25,0.6951175972942965,0.6729064263501511,0.7215935983907229
43,symmetric,dot,W-ASL-g2,13,0.6761673709081193,0.6851720594853078,0.6798439369436885
43,none,dot,W-ASL-g3,24,0.6838124554437098,0.6813866942002865,0.7419971666732403
43,asymmetric,dot,W-ASL-g3,24,0.6915712768217029,0.6859978175202287,0.718325987062675
43,symmetric,dot,W-ASL-g3,13,0.680680857622912,0.6777722262972578,0.6721706175469043
43,none,concat,W-BCE,10,0.7092494636999463,0.6894037270352796,0.724445414086433
43,asymmetric,concat,W-BCE,10,0.7187256381005164,0.6928457251347232,0.716170177099357
43,symmetric,concat,W-BCE,12,0.7212955480208211,0.6900080994982076,0.7234975479561918
43,none,concat,W-ASL-g2,18,0.691479647307649,0.6730521676693543,0.7394802061557475
43,asymmetric,concat,W-ASL-g2,36,0.6998364326141461,0.6616144998690657,0.7548284884103129
43,symmetric,concat,W-ASL-g2,15,0.6973257500819391,0.6575678323082265,0.7299588148674054
43,none,concat,W-ASL-g3,18,0.6792569031732695,0.6712170867035048,0.7412859589266227
43,asymmetric,concat,W-ASL-g3,21,0.6878863457394956,0.6643853778934022,0.7407579970812131
43,symmetric,concat,W-ASL-g3,15,0.6835394899089215,0.6627997793569905,0.7332962732878423
44,none,dot,W-BCE,21,0.6948406537940516,0.7054561937854067,0.7573791398782524
44,asymmetric,dot,W-BCE,10,0.68348185749909,0.695357735114392,0.6914878581101513
44,symmetric,dot,W-BCE,9,0.666327730551175,0.6884448782219946,0.672038318936615
44,none,dot,W-ASL-g2,16,0.692923729995831,0.6989314909922676,0.7460104984288513
44,asymmetric,dot,W-ASL-g2,13,0.673171756753979,0.6910219264438995,0.7040566369528918
