cohort,endpoint,subset,contrast,n,events,delta_auc,delta_auc_ci_low,delta_auc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high,delta_ece,delta_ece_ci_low,delta_ece_ci_high,delta_calibration_intercept,delta_calibration_intercept_ci_low,delta_calibration_intercept_ci_high,delta_calibration_slope,delta_calibration_slope_ci_low,delta_calibration_slope_ci_high,delta_mean_predicted,delta_mean_predicted_ci_low,delta_mean_predicted_ci_high,delta_observed_rate,delta_observed_rate_ci_low,delta_observed_rate_ci_high,delta_oe_ratio,delta_oe_ratio_ci_low,delta_oe_ratio_ci_high
Krasnoyarsk,in-hospital fatal outcome,5-fold out-of-fold,TabPFN v2 minus Logistic regression,1700,271,0.0,-0.0058714240721084885,0.006071129724476322,-0.00015763134659774192,-0.010886273934501296,0.011592740864980364,2.04149778798568e-06,-0.0010007334733082556,0.0010243520534009994,-0.0004082404988505692,-0.014774680880391635,0.015351404853165227,0.03354908395514314,-0.06863787086543455,0.14581838625736,-0.06754739008096078,-0.12533342761891525,-0.0029192230276525763,-0.018669823789018075,-0.019663536493257895,-0.017729647962344063,0.0,0.0,0.0,0.13363590934269465,0.11819958748528209,0.1496824452664863
Hungarian AMI registry,death_30d,all first events,TabPFN v2 minus Logistic regression,29596,3888,-0.008126918707471842,-0.009700233198438749,-0.0066761268444028715,-0.015766566995179976,-0.019924332086589183,-0.011485411556994162,-0.0013823112316546787,-0.001737458892608197,-0.0010156420678304476,-0.022744978301920557,-0.02310797667949797,-0.021362825430858226,0.13816790698576065,0.1117188943553388,0.16658276793762727,-0.028826256416882412,-0.04437428283855767,-0.012059961784806452,-0.02282944608452067,-0.023148649946254825,-0.022502928282705777,0.0,0.0,0.0,0.0963419421405779,0.0934656566748299,0.09936366150062984
Hungarian AMI registry,death_30d,complete case,TabPFN v2 minus Logistic regression,28477,3465,-0.008459033459033427,-0.009968073886396539,-0.00699633271626188,-0.014821063172564125,-0.019264434072686073,-0.010334001097844991,-0.0018548365486910912,-0.0022090149435068786,-0.0014940113481900317,-0.02257966719556599,-0.02290123030980525,-0.022144995720678958,0.1553022328726072,0.1259362191310836,0.18572768039235638,-0.021997526120727473,-0.03898951116768375,-0.0042360403937201675,-0.022579667195566033,-0.022902288434951356,-0.02227681549831534,0.0,0.0,0.0,0.08888990603260905,0.08584302369745904,0.091791590903808
Hungarian AMI registry,death_7d,all first events,TabPFN v2 minus Logistic regression,29596,2408,-0.007347457191148932,-0.009230375593534523,-0.0055481566418712856,-0.01093259557958054,-0.014871680217142962,-0.007278702219824568,-0.005011163150725945,-0.005340204026109165,-0.004663321229269817,-0.022829446084520658,-0.023147468117350772,-0.02251487353849246,0.14832351633958607,0.11290092319603556,0.1829500057373624,-0.017846725131959618,-0.03886221340101176,0.0036323149237941143,-0.02282944608452067,-0.02314746811735079,-0.022514873538492512,0.0,0.0,0.0,0.059668569103526636,0.05734683471169055,0.062039081711049195
Hungarian AMI registry,death_7d,complete case,TabPFN v2 minus Logistic regression,28477,2118,-0.007739748839487692,-0.009642998790470852,-0.005878990393365159,-0.009896766390162126,-0.013830263242341536,-0.006084058143350275,-0.0053121148385019,-0.005651412016570994,-0.00497381478785718,-0.022579667195566006,-0.022907333171927145,-0.022270225064183594,0.16686286630658165,0.1297698914509154,0.20670107514114286,-0.010451092379578641,-0.03295530603205113,0.013716316552226248,-0.022579667195566033,-0.02290733317192724,-0.022270225064183535,0.0,0.0,0.0,0.05433443606841731,0.05198348691644226,0.05669423914888437
