horizon,feature_contract,feature_count,macro_auroc,micro_auroc,macro_auprc,brier,ece_10,macro_f1_0_5
Admission,admission_safe_v1,91,0.6962431179030419,0.7563512536320488,0.18423561339500386,0.16544943215517152,0.2795506439775342,0.22783901088591732
24 h,prospective_24h,94,0.7017878791945772,0.7574561524605898,0.18339871635480795,0.16676466992443476,0.28006433711119744,0.22986606159303383
48 h,prospective_48h,97,0.7048878669884006,0.7638966131555767,0.18679311852664685,0.15891367115097504,0.2654595336394404,0.234229915414102
72 h,prospective_72h,100,0.7008950064462803,0.7633801719717587,0.19201813277269109,0.15910867933171752,0.2677499441859049,0.23101871509690827
