label,positive_n,difference,ci_low,ci_high,n_bootstrap
FIBR_PREDS,170,0.008638985005766875,-0.0010853276450372067,0.018318652457429398,2000
PREDS_TAH,20,0.09080357142857137,-0.01291034235378541,0.1973974246363261,2000
JELUD_TAH,42,0.020406111781262615,-0.00968027160221309,0.05149173980898098,2000
FIBR_JELUD,71,0.028627257714488374,0.009085341325199826,0.04795852512691181,2000
A_V_BLOK,57,-0.005413716885030562,-0.02541063128159462,0.017116269931570022,2000
OTEK_LANC,159,0.010746105404070727,0.0013904314498161402,0.0207198931332062,2000
RAZRIV,54,0.018968543269879845,0.0003459823378887007,0.03646959218308132,2000
DRESSLER,75,0.0762912820512821,0.039645818648810345,0.11597420931323703,2000
ZSN,394,0.005593084630872158,-0.0008425302481690322,0.012139972068699332,2000
REC_IM,159,0.03200568119207081,0.01823774617472805,0.04591108494903861,2000
P_IM_STEN,148,0.011941870994706116,-0.0005927102346213269,0.025021502042214545,2000
LET_IS,271,-0.002990246837388022,-0.007494929411438489,0.0013634901810186597,2000
